date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:44:50	46278/46278	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:36%20GMT	https://sb-admin-pro.startbootstrap.com/starter-minimal.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/starter-minimal.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:50	87273/87273	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:18%20GMT	https://sb-admin-pro.startbootstrap.com/alerts.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/alerts.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:50	58783/58783	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:28%20GMT	https://sb-admin-pro.startbootstrap.com/avatars.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/avatars.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:51	65814/65814	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:28%20GMT	https://sb-admin-pro.startbootstrap.com/badges.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/badges.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:51	130746/130746	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:29%20GMT	https://sb-admin-pro.startbootstrap.com/buttons.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/buttons.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:52	177878/177878	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:29%20GMT	https://sb-admin-pro.startbootstrap.com/cards.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/cards.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:53	84650/84650	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:30%20GMT	https://sb-admin-pro.startbootstrap.com/dropdowns.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/dropdowns.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:53	105296/105296	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:31%20GMT	https://sb-admin-pro.startbootstrap.com/forms.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/forms.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:53	105561/105561	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:34%20GMT	https://sb-admin-pro.startbootstrap.com/modals.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/modals.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:54	74605/74605	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:35%20GMT	https://sb-admin-pro.startbootstrap.com/navigation.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/navigation.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:54	99252/99252	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:35%20GMT	https://sb-admin-pro.startbootstrap.com/progress.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/progress.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:55	83198/83198	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:36%20GMT	https://sb-admin-pro.startbootstrap.com/step.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/step.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:55	89096/89096	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:36%20GMT	https://sb-admin-pro.startbootstrap.com/timeline.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/timeline.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:55	97827/97827	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:36%20GMT	https://sb-admin-pro.startbootstrap.com/toasts.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/toasts.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:56	62476/62476	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:37%20GMT	https://sb-admin-pro.startbootstrap.com/tooltips.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/tooltips.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:57	58473/58473	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:18%20GMT	https://sb-admin-pro.startbootstrap.com/animations.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/animations.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:57	92088/92088	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:28%20GMT	https://sb-admin-pro.startbootstrap.com/background.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/background.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:58	69960/69960	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:29%20GMT	https://sb-admin-pro.startbootstrap.com/borders.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/borders.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:58	56971/56971	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:34%20GMT	https://sb-admin-pro.startbootstrap.com/lift.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/lift.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:58	51523/51523	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:36%20GMT	https://sb-admin-pro.startbootstrap.com/shadows.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/shadows.html	(from https://sb-admin-pro.startbootstrap.com/)
18:44:59	64573/64573	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2022:32:37%20GMT	https://sb-admin-pro.startbootstrap.com/typography.html	E:/Template%20Web/SB-ADMIN-PRO/sb-admin-pro.startbootstrap.com/typography.html	(from https://sb-admin-pro.startbootstrap.com/)
